model_name,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__bootstrap,param_model__max_depth,param_model__max_features,param_model__min_samples_leaf,param_model__min_samples_split,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,validation_pr_auc,loss,elapsed_seconds
random_forest_random_search_tuned,327.0361185868581,2.899804894100491,13.52892271677653,1.0051272311994823,True,10,0.7,26,393,543,"{'model__bootstrap': True, 'model__max_depth': 10, 'model__max_features': 0.7, 'model__min_samples_leaf': 26, 'model__min_samples_split': 393, 'model__n_estimators': 543}",0.22225965369763578,0.20969094739005936,0.21445725152251904,0.21546928420340472,0.005180814104103288,1.0,0.2521140878598555,0.2538458748487453,0.25550750083002893,0.2538224878462099,0.0013854537428705444,,,,,,,,,,,,
random_forest_random_search_tuned,311.95390184720355,1.898565535391528,9.89775808652242,4.5395347000259365,True,,0.7,89,394,576,"{'model__bootstrap': True, 'model__max_depth': None, 'model__max_features': 0.7, 'model__min_samples_leaf': 89, 'model__min_samples_split': 394, 'model__n_estimators': 576}",0.22221284005308053,0.20888289899307658,0.21443729700541558,0.2151776786838576,0.005467050145378479,2.0,0.24870432837247491,0.2510985413352912,0.2503902998168036,0.25006438984152324,0.0010042333433420121,,,,,,,,,,,,
random_forest_random_search_tuned,276.8222831090291,0.48619419227415483,17.690687656402588,0.3342949770813602,True,8,0.5,45,210,563,"{'model__bootstrap': True, 'model__max_depth': 8, 'model__max_features': 0.5, 'model__min_samples_leaf': 45, 'model__min_samples_split': 210, 'model__n_estimators': 563}",0.2215976044643413,0.20744940120111743,0.2150033695492927,0.21468345840491712,0.005780407785476518,3.0,0.24903651720378056,0.25127557131392103,0.2520595327277584,0.2507905404151533,0.0012809103388143619,,,,,,,,,,,,
random_forest_random_search_tuned,241.7707367738088,5.818073300835514,1.2100683053334553,0.2744777099215838,True,,0.7,123,221,609,"{'model__bootstrap': True, 'model__max_depth': None, 'model__max_features': 0.7, 'model__min_samples_leaf': 123, 'model__min_samples_split': 221, 'model__n_estimators': 609}",0.22150023921939835,0.2075562026567993,0.21470334764681948,0.2145865965076724,0.005693227674828158,4.0,0.25364475067271663,0.2566005038617838,0.25504306422647566,0.2550961062536587,0.001207263937216694,,,,,,,,,,,,
random_forest_random_search_tuned,301.96059505144757,1.12121281155023,13.19943348566691,0.08429184833786443,True,14,0.7,127,171,464,"{'model__bootstrap': True, 'model__max_depth': 14, 'model__max_features': 0.7, 'model__min_samples_leaf': 127, 'model__min_samples_split': 171, 'model__n_estimators': 464}",0.2217871606965387,0.20744325419619647,0.21444277861765182,0.214557731170129,0.00585643941826037,5.0,0.25195002658337107,0.25520683912279035,0.2530809180295172,0.2534125945785595,0.0013501145578846624,,,,,,,,,,,,
random_forest_random_search_tuned,186.66872429847717,3.4246342059328643,22.56145215034485,0.6014440995509557,True,,0.5,117,320,356,"{'model__bootstrap': True, 'model__max_depth': None, 'model__max_features': 0.5, 'model__min_samples_leaf': 117, 'model__min_samples_split': 320, 'model__n_estimators': 356}",0.22100446875179833,0.20804666770872365,0.21419667669357875,0.21441593771803358,0.005292271630444436,6.0,0.24781249997060056,0.25016699338179677,0.24939146010246568,0.24912365115162102,0.0009796941806693138,,,,,,,,,,,,
random_forest_random_search_tuned,189.07185570398966,33.12551905190763,14.647555907567343,4.211505379888845,True,16,0.7,113,98,308,"{'model__bootstrap': True, 'model__max_depth': 16, 'model__max_features': 0.7, 'model__min_samples_leaf': 113, 'model__min_samples_split': 98, 'model__n_estimators': 308}",0.22100581743008102,0.20702569804429774,0.2151893129238669,0.21440694279941522,0.005734109158879245,7.0,0.2570022396682257,0.2603169013703534,0.2584737620978172,0.2585976343787988,0.0013560368250615925,,,,,,,,,,,,
random_forest_random_search_tuned,260.11171770095825,0.5001664160455098,19.83632485071818,0.5159333251118915,True,10,0.35,112,149,609,"{'model__bootstrap': True, 'model__max_depth': 10, 'model__max_features': 0.35, 'model__min_samples_leaf': 112, 'model__min_samples_split': 149, 'model__n_estimators': 609}",0.2213146970904476,0.2072737772532165,0.21425857650133134,0.21428235028166517,0.005732206170016392,8.0,0.24644210059747465,0.2488225729575825,0.24841957393538244,0.24789474916347987,0.0010402701396628694,,,,,,,,,,,,
random_forest_random_search_tuned,141.46653493245444,0.6857579096555586,12.03053077061971,0.5836935798505534,True,16,0.35,132,104,493,"{'model__bootstrap': True, 'model__max_depth': 16, 'model__max_features': 0.35, 'model__min_samples_leaf': 132, 'model__min_samples_split': 104, 'model__n_estimators': 493}",0.22139352513278487,0.20737631195266606,0.2137446962511455,0.21417151111219881,0.005730456324379766,9.0,0.2445835722282919,0.2473990097214795,0.24712885344489585,0.2463704784648891,0.0012683378958928324,,,,,,,,,,,,
random_forest_random_search_tuned,91.90716274579366,0.9820850306838081,15.278845071792603,0.46878114660978026,True,8,0.5,116,313,284,"{'model__bootstrap': True, 'model__max_depth': 8, 'model__max_features': 0.5, 'model__min_samples_leaf': 116, 'model__min_samples_split': 313, 'model__n_estimators': 284}",0.22157127898859905,0.20692640621289315,0.21399931058305896,0.21416566526151706,0.005979901340514828,10.0,0.239033665868003,0.24208204945229822,0.240593906158646,0.24056987382631576,0.0012446134028947981,,,,,,,,,,,,
random_forest_random_search_tuned,135.4531565507253,1.0714277227510518,12.684908548990885,0.43551465679248424,True,12,0.7,215,267,293,"{'model__bootstrap': True, 'model__max_depth': 12, 'model__max_features': 0.7, 'model__min_samples_leaf': 215, 'model__min_samples_split': 267, 'model__n_estimators': 293}",0.22109886879405788,0.20735954299921533,0.21344109860560923,0.21396650346629417,0.005621346577996532,11.0,0.23401246208728244,0.23780223773442946,0.23592437688488005,0.23591302556886395,0.0015471902497126064,,,,,,,,,,,,
random_forest_random_search_tuned,163.23073887825012,1.2541279352642798,13.52133067448934,1.8622172543772444,True,,0.5,214,345,462,"{'model__bootstrap': True, 'model__max_depth': None, 'model__max_features': 0.5, 'model__min_samples_leaf': 214, 'model__min_samples_split': 345, 'model__n_estimators': 462}",0.22169517695979532,0.20681849510178124,0.21234250430816243,0.21361872545657964,0.006140058147981547,12.0,0.23255522478363633,0.23643046217919678,0.23514920287564314,0.23471162994615877,0.001612031589734043,,,,,,,,,,,,
random_forest_random_search_tuned,132.8239361445109,4.633931057236568,20.274083375930786,2.2853690967276825,True,6,0.5,186,82,297,"{'model__bootstrap': True, 'model__max_depth': 6, 'model__max_features': 0.5, 'model__min_samples_leaf': 186, 'model__min_samples_split': 82, 'model__n_estimators': 297}",0.22120107489045254,0.20631550306632154,0.21318428518369886,0.21356695438015763,0.006083030435469889,13.0,0.22556365141827237,0.22928763694300563,0.22856818874720808,0.22780649236949535,0.0016128965819235984,,,,,,,,,,,,
random_forest_random_search_tuned,226.50684348742166,0.9051762752579441,9.770188411076864,0.6072913089892432,True,10,0.7,65,77,384,"{'model__bootstrap': True, 'model__max_depth': 10, 'model__max_features': 0.7, 'model__min_samples_leaf': 65, 'model__min_samples_split': 77, 'model__n_estimators': 384}",0.2196690138748579,0.20696234282504894,0.21404824512490406,0.21355986727493695,0.00519895867684207,14.0,0.2731859989268107,0.2752895757359487,0.27493776713925405,0.27447111393400453,0.0009199937530451106,,,,,,,,,,,,
random_forest_random_search_tuned,82.3375494480133,1.096978353897207,11.070034583409628,1.2379832441841327,True,6,0.35,75,184,270,"{'model__bootstrap': True, 'model__max_depth': 6, 'model__max_features': 0.35, 'model__min_samples_leaf': 75, 'model__min_samples_split': 184, 'model__n_estimators': 270}",0.221699985901179,0.20596414672143348,0.21269186410019109,0.21345199890760122,0.006446575957657982,15.0,0.22884970320707942,0.23331924288932443,0.23183806022395587,0.23133566877345324,0.0018589412972521565,,,,,,,,,,,,
random_forest_random_search_tuned,66.60223118464152,5.799706480530397,10.197028319040934,0.4430405353908083,True,16,log2,33,395,302,"{'model__bootstrap': True, 'model__max_depth': 16, 'model__max_features': 'log2', 'model__min_samples_leaf': 33, 'model__min_samples_split': 395, 'model__n_estimators': 302}",0.2203944191579626,0.2067528810681959,0.21237873568540094,0.21317534530385315,0.005597548899699872,16.0,0.2396867600364296,0.24186896897542015,0.2427630641032551,0.24143959770503495,0.0012920736418037258,,,,,,,,,,,,
random_forest_random_search_tuned,114.68873278299968,3.9645283910608677,15.586531241734823,0.6204552553760287,True,14,log2,135,102,529,"{'model__bootstrap': True, 'model__max_depth': 14, 'model__max_features': 'log2', 'model__min_samples_leaf': 135, 'model__min_samples_split': 102, 'model__n_estimators': 529}",0.2202499471093184,0.20482914381503453,0.21245071947790894,0.21250993680075395,0.006295655834448739,17.0,0.2329966152907952,0.23567996344418005,0.23595664969513938,0.23487774281003823,0.0013349455364939,,,,,,,,,,,,
random_forest_random_search_tuned,141.56283736228943,11.579414588082724,22.728091875712078,1.0641177357848621,True,10,sqrt,160,212,538,"{'model__bootstrap': True, 'model__max_depth': 10, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 160, 'model__min_samples_split': 212, 'model__n_estimators': 538}",0.21964807908199419,0.20542177299658076,0.21238463655497777,0.21248482954451756,0.0058082972367314,18.0,0.22958837193148504,0.23279034494227033,0.23291722902302886,0.23176531529892808,0.0015402027380138736,,,,,,,,,,,,
random_forest_random_search_tuned,122.9649654229482,1.437931005238039,12.407713413238525,0.8475966673226727,True,16,sqrt,188,99,609,"{'model__bootstrap': True, 'model__max_depth': 16, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 188, 'model__min_samples_split': 99, 'model__n_estimators': 609}",0.22011226493300723,0.20426427816224063,0.21163787078711602,0.21200480462745463,0.006475113976036124,19.0,0.2274753996039613,0.23095727031578173,0.23022180021795022,0.22955149004589773,0.0014984086466483912,,,,,,,,,,,,
random_forest_random_search_tuned,78.87594000498454,2.8731925263710107,14.220069567362467,0.7483562852664672,True,12,log2,158,103,355,"{'model__bootstrap': True, 'model__max_depth': 12, 'model__max_features': 'log2', 'model__min_samples_leaf': 158, 'model__min_samples_split': 103, 'model__n_estimators': 355}",0.2193343899342774,0.2040251667934977,0.2108401411504538,0.21139989929274297,0.00626248487300584,20.0,0.22843700950970425,0.23212347231407204,0.23104810579483953,0.2305361958728719,0.001547910597795938,,,,,,,,,,,,
random_forest_random_search_tuned,89.39391779899597,0.5144986310323659,14.769113222757975,1.0744968905275605,True,8,sqrt,212,90,406,"{'model__bootstrap': True, 'model__max_depth': 8, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 212, 'model__min_samples_split': 90, 'model__n_estimators': 406}",0.21928925399872073,0.20388060967920593,0.2108000956927088,0.2113233197902118,0.006301423253704137,21.0,0.22225286544912687,0.2271401462685116,0.22500291509654285,0.22479864227139376,0.0020004456157236964,,,,,,,,,,,,
random_forest_random_search_tuned,82.96810523668925,0.6666754234396285,14.860132932662964,1.5548250035051472,True,6,sqrt,160,112,388,"{'model__bootstrap': True, 'model__max_depth': 6, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 160, 'model__min_samples_split': 112, 'model__n_estimators': 388}",0.2188479279876857,0.20196885284752342,0.21086753901460337,0.2105614399499375,0.006894252044268624,22.0,0.21865128587510574,0.22358885387841632,0.2228683553844527,0.22170283171265825,0.0021777248860472133,,,,,,,,,,,,
random_forest_random_search_tuned,122.95414582888286,2.2628571173320653,13.337990760803223,0.177197434281822,True,8,log2,214,319,600,"{'model__bootstrap': True, 'model__max_depth': 8, 'model__max_features': 'log2', 'model__min_samples_leaf': 214, 'model__min_samples_split': 319, 'model__n_estimators': 600}",0.21834157409511468,0.20214316785355788,0.21020408208574426,0.21022960801147228,0.006612996288687389,23.0,0.2206280270204834,0.22409851243196827,0.22258888087749645,0.22243847344331602,0.001420805885175705,,,,,,,,,,,,
random_forest_random_search_tuned,116.22652745246887,4.6390068640419235,13.15304700533549,2.847821755920957,True,,log2,244,237,520,"{'model__bootstrap': True, 'model__max_depth': None, 'model__max_features': 'log2', 'model__min_samples_leaf': 244, 'model__min_samples_split': 237, 'model__n_estimators': 520}",0.21805969794539967,0.2022035387787143,0.20941443300594986,0.20989255657668796,0.006482072584777527,24.0,0.2195738962865616,0.22448375190013087,0.22317982890915977,0.22241249236528407,0.0020765796501618933,,,,,,,,,,,,
random_forest_random_search_tuned,104.09845105806987,2.201167531854616,11.4644242922465,0.8499428661893553,True,6,log2,156,138,565,"{'model__bootstrap': True, 'model__max_depth': 6, 'model__max_features': 'log2', 'model__min_samples_leaf': 156, 'model__min_samples_split': 138, 'model__n_estimators': 565}",0.21734186213099385,0.20046259772415012,0.20960095375262716,0.20913513786925705,0.006898798448857372,25.0,0.21791642506868017,0.22168521468371596,0.21993101664458647,0.21984421879899418,0.0015398255723944859,,,,,,,,,,,,
xgboost_hyperopt_tuned,,,,,,,,,,,,,,,,,,,,,,,0.6393612611728163,1.1615599620042647,0.03591217632246335,4.0,2.404012069177416,250.0,0.3060528925486039,1.2991733711962796,0.8560641147187875,0.2302672234533928,-0.2302672234533928,4.186183214187622
xgboost_hyperopt_tuned,,,,,,,,,,,,,,,,,,,,,,,0.7083741715591447,2.198010794668944,0.02393456564274846,4.0,1.1764743355218434,500.0,2.2723132939312674,1.6632185381547042,0.779119516535589,0.2294927187502129,-0.2294927187502129,7.8511574268341064
xgboost_hyperopt_tuned,,,,,,,,,,,,,,,,,,,,,,,0.6172676804870033,2.1155573612573657,0.01796070684801886,4.0,1.0273756865802948,550.0,0.41073271223601776,1.0066661884981065,0.8631981551177492,0.2288803965883101,-0.2288803965883101,8.813862562179565
xgboost_hyperopt_tuned,,,,,,,,,,,,,,,,,,,,,,,0.6854058995357852,1.6256825675622437,0.015342289887471838,4.0,2.8744495822552194,500.0,0.6902936697082502,8.855520732233629,0.9587936617411212,0.22840105425259088,-0.22840105425259088,7.7700934410095215
xgboost_hyperopt_tuned,,,,,,,,,,,,,,,,,,,,,,,0.9058944996465657,1.0125321130112133,0.02900911774338722,4.0,1.3249525534634041,700.0,0.12019659256631557,2.800154323065045,0.797324023516453,0.22829798926548117,-0.22829798926548117,10.258705854415894
xgboost_hyperopt_tuned,,,,,,,,,,,,,,,,,,,,,,,0.6185220987996219,3.220714958501696,0.015152710348551472,4.0,4.037360445004108,550.0,4.373312692707767,1.1676550318682155,0.8647456550371879,0.22821476188605466,-0.22821476188605466,8.011473894119263
xgboost_hyperopt_tuned,,,,,,,,,,,,,,,,,,,,,,,0.6117243704774709,0.061494161295294614,0.019412249474574195,4.0,1.0412219845351538,250.0,0.5754203028839022,2.4620040996211876,0.8803459820323881,0.2276377066798712,-0.2276377066798712,4.379950761795044
xgboost_hyperopt_tuned,,,,,,,,,,,,,,,,,,,,,,,0.6545365681327273,2.0576537287277645,0.044131048598045085,3.0,2.049792589189953,600.0,1.8835189824337981,0.2503105783202498,0.9521523003082655,0.22739702354083435,-0.22739702354083435,7.642857789993286
