model_name,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__bootstrap,param_model__max_depth,param_model__max_features,param_model__min_samples_leaf,param_model__min_samples_split,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,validation_pr_auc,loss,elapsed_seconds
xgboost_hyperopt_tuned,,,,,,,,,,,,,,,,,,,,,,,0.7517149605448037,4.22980000436168,0.03592885465625159,4.0,29.3346664945156,600.0,0.00017951895434069556,7.344244366436956,0.9031544412860262,0.22737793503841108,-0.22737793503841108,9.273232698440552
xgboost_hyperopt_tuned,,,,,,,,,,,,,,,,,,,,,,,0.7197840270784446,0.39010295434188047,0.026865442974470504,3.0,1.6464808007306397,850.0,0.004444780063749301,0.3927484290401166,0.7637321609770884,0.2271220457298539,-0.2271220457298539,11.680404424667358
xgboost_hyperopt_tuned,,,,,,,,,,,,,,,,,,,,,,,0.6035921991538713,3.0455677094353963,0.015137588780488306,4.0,4.002075388080674,550.0,4.393206529970043,1.1308986638779828,0.9962644699955248,0.2270614150933013,-0.2270614150933013,9.082182168960571
xgboost_hyperopt_tuned,,,,,,,,,,,,,,,,,,,,,,,0.8713272875791995,3.807865384983995,0.052269645839971464,4.0,3.1587231843165067,450.0,0.0022401583972882972,0.38182421377006504,0.8260163141315187,0.22686222431438507,-0.22686222431438507,6.885195970535278
xgboost_hyperopt_tuned,,,,,,,,,,,,,,,,,,,,,,,0.6632855608018366,4.6622574683653735,0.06921226455005579,3.0,18.46167039037099,450.0,0.000911854556408936,18.95364781330241,0.9563366632022017,0.22673528553901043,-0.22673528553901043,6.310611248016357
xgboost_hyperopt_tuned,,,,,,,,,,,,,,,,,,,,,,,0.6374907470482866,2.2765214320258416,0.018759557959295358,2.0,1.0393659416809264,550.0,0.26927626110224373,0.881236499431046,0.9983362378116206,0.22574175468787994,-0.22574175468787994,6.524942398071289
xgboost_hyperopt_tuned,,,,,,,,,,,,,,,,,,,,,,,0.7009692021980518,2.9176580122341904,0.025022984399331986,5.0,1.2858304322852132,650.0,0.060802413446817645,0.6335899488777548,0.7913221845916927,0.2252393796309947,-0.2252393796309947,10.342682123184204
xgboost_hyperopt_tuned,,,,,,,,,,,,,,,,,,,,,,,0.7367490548689456,0.02744016627414303,0.13521948903453462,2.0,6.81125528823598,300.0,1.1104180439770193,3.5932952126504465,0.7551474741766779,0.22471742174055298,-0.22471742174055298,4.633492708206177
xgboost_hyperopt_tuned,,,,,,,,,,,,,,,,,,,,,,,0.6406583182183037,0.8908582185921989,0.033998117666475106,2.0,1.0340156651105055,250.0,0.030654657107798647,0.7527417357564021,0.8557893562687586,0.2243205025008643,-0.2243205025008643,3.539731502532959
xgboost_hyperopt_tuned,,,,,,,,,,,,,,,,,,,,,,,0.801779612030847,0.43516875020399415,0.02760239697954394,5.0,9.209162089623474,650.0,0.01106731665793008,2.053447220064257,0.763761337457416,0.22423709943744988,-0.22423709943744988,10.166004419326782
xgboost_hyperopt_tuned,,,,,,,,,,,,,,,,,,,,,,,0.7936739623353964,1.6199951785771693,0.08877864833998467,3.0,13.621251311224798,650.0,1.4241138139526894,3.785142759557656,0.9347793926741007,0.22386873131847945,-0.22386873131847945,8.649497270584106
xgboost_hyperopt_tuned,,,,,,,,,,,,,,,,,,,,,,,0.7138835816482194,0.005491509608363199,0.022880283640987327,2.0,5.166179091812813,350.0,1.7354170711359165,3.0270797435126866,0.7831601027910458,0.22380787633668572,-0.22380787633668572,4.887560129165649
xgboost_hyperopt_tuned,,,,,,,,,,,,,,,,,,,,,,,0.6113291043800825,1.280336441556285,0.03057437608419409,6.0,7.715109527928751,300.0,0.027551119400632772,1.0450151984808644,0.8116133864345101,0.22354921533124872,-0.22354921533124872,5.742797136306763
xgboost_hyperopt_tuned,,,,,,,,,,,,,,,,,,,,,,,0.7220676455815689,3.4196174202469987,0.06221796006112947,3.0,13.206014408119842,800.0,0.00026152437259985506,1.936269331561558,0.6735980233279383,0.22338529998358664,-0.22338529998358664,10.440628290176392
xgboost_hyperopt_tuned,,,,,,,,,,,,,,,,,,,,,,,0.8449220586684436,0.9861176042974745,0.05473192136884289,5.0,15.655655156450202,400.0,0.07280515420793054,6.12732705751034,0.7491063283105367,0.2225099615548713,-0.2225099615548713,6.716353178024292
xgboost_hyperopt_tuned,,,,,,,,,,,,,,,,,,,,,,,0.942926444216007,4.250198863250397,0.047213061456163406,5.0,21.830851408733235,700.0,0.011931052932531626,0.5062713805168615,0.9141545760926761,0.2224807631593132,-0.2224807631593132,10.200491905212402
xgboost_hyperopt_tuned,,,,,,,,,,,,,,,,,,,,,,,0.8314190847877414,1.3144013758829283,0.01833302229217023,2.0,4.301290445335369,300.0,1.329763631574245,1.4524526879838149,0.8537806551938697,0.22247301481293774,-0.22247301481293774,4.123315334320068
xgboost_hyperopt_tuned,,,,,,,,,,,,,,,,,,,,,,,0.6320349571376785,2.445847482721681,0.03881566600021987,6.0,2.0250007270005734,350.0,0.19059439160272737,1.478691274731675,0.8389417122261952,0.22219205279323023,-0.22219205279323023,6.288167953491211
xgboost_hyperopt_tuned,,,,,,,,,,,,,,,,,,,,,,,0.7770318123047144,2.0620431009101106,0.06516023639412742,3.0,1.4549312558529635,850.0,0.00012031972572106228,13.232101249197418,0.7313612231143589,0.22187645645541793,-0.22187645645541793,11.034801721572876
xgboost_hyperopt_tuned,,,,,,,,,,,,,,,,,,,,,,,0.7726363205481493,0.6660786011323899,0.02206724757033454,7.0,5.5941583094617275,750.0,0.0002421733939071498,19.73769278716642,0.894677508159528,0.21947985055687025,-0.21947985055687025,13.039750576019287
xgboost_hyperopt_tuned,,,,,,,,,,,,,,,,,,,,,,,0.754990330946689,2.6782693536718862,0.1635890689855848,3.0,1.8645337914026316,600.0,0.5216706518781409,0.6145427491581684,0.8817468854513928,0.21923783682260856,-0.21923783682260856,7.652037143707275
xgboost_hyperopt_tuned,,,,,,,,,,,,,,,,,,,,,,,0.6812543180357478,4.597370637408449,0.06982798449527368,7.0,2.3863569864048317,450.0,0.0003108822489823467,3.5917716891630023,0.923380741782362,0.21569875470501332,-0.21569875470501332,6.870670318603516
xgboost_hyperopt_tuned,,,,,,,,,,,,,,,,,,,,,,,0.9939908836412561,4.59337957982663,0.08208866693173393,5.0,3.2802496494706643,500.0,0.0003997877587914167,10.358345900077854,0.7358247421083032,0.21328169596573388,-0.21328169596573388,8.097738981246948
xgboost_hyperopt_tuned,,,,,,,,,,,,,,,,,,,,,,,0.6788355392310066,1.3353476915205302,0.10492426347155688,5.0,2.4247803067624463,400.0,3.85650806307871,5.687584969538928,0.8065632582454436,0.2124749775607595,-0.2124749775607595,6.2751593589782715
xgboost_hyperopt_tuned,,,,,,,,,,,,,,,,,,,,,,,0.9651326091585946,1.6699257358661694,0.09167928862342482,6.0,1.6088537150845903,450.0,0.32733893063670483,9.498942884536293,0.6725004021583423,0.20367457186355187,-0.20367457186355187,8.505010843276978
xgboost_hyperopt_tuned,,,,,,,,,,,,,,,,,,,,,,,0.8663748795248024,2.628467068329106,0.13734182924199592,6.0,7.014373344506197,350.0,0.07986744897781808,0.3452419561258451,0.7014369755497597,0.19769179391191244,-0.19769179391191244,6.97773289680481
xgboost_hyperopt_tuned,,,,,,,,,,,,,,,,,,,,,,,0.8035651858278754,1.7305409999279004,0.12637108500468924,5.0,25.40803491975664,800.0,0.0018232657301403862,0.2995450737274231,0.662146202549887,0.19750396063278186,-0.19750396063278186,12.097422122955322
xgboost_hyperopt_tuned_skew_treated,,,,,,,,,,,,,,,,,,,,,,,0.6393612611728163,1.1615599620042647,0.03591217632246335,4.0,2.404012069177416,250.0,0.3060528925486039,1.2991733711962796,0.8560641147187875,0.2305349387114432,-0.2305349387114432,5.998480796813965
xgboost_hyperopt_tuned_skew_treated,,,,,,,,,,,,,,,,,,,,,,,0.7083741715591447,2.198010794668944,0.02393456564274846,4.0,1.1764743355218434,500.0,2.2723132939312674,1.6632185381547042,0.779119516535589,0.22949702311271275,-0.22949702311271275,9.188802242279053
xgboost_hyperopt_tuned_skew_treated,,,,,,,,,,,,,,,,,,,,,,,0.6172676804870033,2.1155573612573657,0.01796070684801886,4.0,1.0273756865802948,550.0,0.41073271223601776,1.0066661884981065,0.8631981551177492,0.2284075401668295,-0.2284075401668295,9.739617109298706
xgboost_hyperopt_tuned_skew_treated,,,,,,,,,,,,,,,,,,,,,,,0.6854058995357852,1.6256825675622437,0.015342289887471838,4.0,2.8744495822552194,500.0,0.6902936697082502,8.855520732233629,0.9587936617411212,0.22840105425259088,-0.22840105425259088,9.461585283279419
xgboost_hyperopt_tuned_skew_treated,,,,,,,,,,,,,,,,,,,,,,,0.9058944996465657,1.0125321130112133,0.02900911774338722,4.0,1.3249525534634041,700.0,0.12019659256631557,2.800154323065045,0.797324023516453,0.22829798926548117,-0.22829798926548117,12.187551736831665
xgboost_hyperopt_tuned_skew_treated,,,,,,,,,,,,,,,,,,,,,,,0.6185220987996219,3.220714958501696,0.015152710348551472,4.0,4.037360445004108,550.0,4.373312692707767,1.1676550318682155,0.8647456550371879,0.2281830690588697,-0.2281830690588697,9.637592554092407
xgboost_hyperopt_tuned_skew_treated,,,,,,,,,,,,,,,,,,,,,,,0.6117243704774709,0.061494161295294614,0.019412249474574195,4.0,1.0412219845351538,250.0,0.5754203028839022,2.4620040996211876,0.8803459820323881,0.2276377066798712,-0.2276377066798712,6.080045938491821
xgboost_hyperopt_tuned_skew_treated,,,,,,,,,,,,,,,,,,,,,,,0.6545365681327273,2.0576537287277645,0.044131048598045085,3.0,2.049792589189953,600.0,1.8835189824337981,0.2503105783202498,0.9521523003082655,0.22739702354083435,-0.22739702354083435,10.68746304512024
xgboost_hyperopt_tuned_skew_treated,,,,,,,,,,,,,,,,,,,,,,,0.7517149605448037,4.22980000436168,0.03592885465625159,4.0,29.3346664945156,600.0,0.00017951895434069556,7.344244366436956,0.9031544412860262,0.22737793503841108,-0.22737793503841108,10.28673791885376
xgboost_hyperopt_tuned_skew_treated,,,,,,,,,,,,,,,,,,,,,,,0.6035921991538713,3.0455677094353963,0.015137588780488306,4.0,4.002075388080674,550.0,4.393206529970043,1.1308986638779828,0.9962644699955248,0.2270614150933013,-0.2270614150933013,9.512210607528687
xgboost_hyperopt_tuned_skew_treated,,,,,,,,,,,,,,,,,,,,,,,0.8713272875791995,3.807865384983995,0.052269645839971464,4.0,3.1587231843165067,450.0,0.0022401583972882972,0.38182421377006504,0.8260163141315187,0.22686222431438507,-0.22686222431438507,8.222656726837158
xgboost_hyperopt_tuned_skew_treated,,,,,,,,,,,,,,,,,,,,,,,0.6632855608018366,4.6622574683653735,0.06921226455005579,3.0,18.46167039037099,450.0,0.000911854556408936,18.95364781330241,0.9563366632022017,0.22673528553901043,-0.22673528553901043,7.584336757659912
xgboost_hyperopt_tuned_skew_treated,,,,,,,,,,,,,,,,,,,,,,,0.7197840270784446,0.39010295434188047,0.026865442974470504,3.0,1.6464808007306397,850.0,0.004444780063749301,0.3927484290401166,0.7637321609770884,0.22658764210829785,-0.22658764210829785,12.890665292739868
xgboost_hyperopt_tuned_skew_treated,,,,,,,,,,,,,,,,,,,,,,,0.6374907470482866,2.2765214320258416,0.018759557959295358,2.0,1.0393659416809264,550.0,0.26927626110224373,0.881236499431046,0.9983362378116206,0.22574175468787994,-0.22574175468787994,8.411266803741455
xgboost_hyperopt_tuned_skew_treated,,,,,,,,,,,,,,,,,,,,,,,0.7367490548689456,0.02744016627414303,0.13521948903453462,2.0,6.81125528823598,300.0,1.1104180439770193,3.5932952126504465,0.7551474741766779,0.22471742174055298,-0.22471742174055298,5.890355825424194
xgboost_hyperopt_tuned_skew_treated,,,,,,,,,,,,,,,,,,,,,,,0.7009692021980518,2.9176580122341904,0.025022984399331986,5.0,1.2858304322852132,650.0,0.060802413446817645,0.6335899488777548,0.7913221845916927,0.22459724875321313,-0.22459724875321313,11.729719400405884
xgboost_hyperopt_tuned_skew_treated,,,,,,,,,,,,,,,,,,,,,,,0.801779612030847,0.43516875020399415,0.02760239697954394,5.0,9.209162089623474,650.0,0.01106731665793008,2.053447220064257,0.763761337457416,0.22432058343000869,-0.22432058343000869,11.589242219924927
xgboost_hyperopt_tuned_skew_treated,,,,,,,,,,,,,,,,,,,,,,,0.6406583182183037,0.8908582185921989,0.033998117666475106,2.0,1.0340156651105055,250.0,0.030654657107798647,0.7527417357564021,0.8557893562687586,0.22431427141190236,-0.22431427141190236,5.323825120925903
xgboost_hyperopt_tuned_skew_treated,,,,,,,,,,,,,,,,,,,,,,,0.7220676455815689,3.4196174202469987,0.06221796006112947,3.0,13.206014408119842,800.0,0.00026152437259985506,1.936269331561558,0.6735980233279383,0.22426409779301104,-0.22426409779301104,12.360803127288818
xgboost_hyperopt_tuned_skew_treated,,,,,,,,,,,,,,,,,,,,,,,0.7770318123047144,2.0620431009101106,0.06516023639412742,3.0,1.4549312558529635,850.0,0.00012031972572106228,13.232101249197418,0.7313612231143589,0.2242581195823018,-0.2242581195823018,13.261361360549927
xgboost_hyperopt_tuned_skew_treated,,,,,,,,,,,,,,,,,,,,,,,0.7936739623353964,1.6199951785771693,0.08877864833998467,3.0,13.621251311224798,650.0,1.4241138139526894,3.785142759557656,0.9347793926741007,0.22386881535529188,-0.22386881535529188,10.023292064666748
xgboost_hyperopt_tuned_skew_treated,,,,,,,,,,,,,,,,,,,,,,,0.6113291043800825,1.280336441556285,0.03057437608419409,6.0,7.715109527928751,300.0,0.027551119400632772,1.0450151984808644,0.8116133864345101,0.2236635931146809,-0.2236635931146809,7.2187793254852295
xgboost_hyperopt_tuned_skew_treated,,,,,,,,,,,,,,,,,,,,,,,0.7138835816482194,0.005491509608363199,0.022880283640987327,2.0,5.166179091812813,350.0,1.7354170711359165,3.0270797435126866,0.7831601027910458,0.22359684471092586,-0.22359684471092586,6.579434871673584
xgboost_hyperopt_tuned_skew_treated,,,,,,,,,,,,,,,,,,,,,,,0.8449220586684436,0.9861176042974745,0.05473192136884289,5.0,15.655655156450202,400.0,0.07280515420793054,6.12732705751034,0.7491063283105367,0.22251238295131892,-0.22251238295131892,8.497954368591309
xgboost_hyperopt_tuned_skew_treated,,,,,,,,,,,,,,,,,,,,,,,0.942926444216007,4.250198863250397,0.047213061456163406,5.0,21.830851408733235,700.0,0.011931052932531626,0.5062713805168615,0.9141545760926761,0.2224807631593132,-0.2224807631593132,11.437654256820679
xgboost_hyperopt_tuned_skew_treated,,,,,,,,,,,,,,,,,,,,,,,0.8314190847877414,1.3144013758829283,0.01833302229217023,2.0,4.301290445335369,300.0,1.329763631574245,1.4524526879838149,0.8537806551938697,0.22247301481293774,-0.22247301481293774,6.065499544143677
xgboost_hyperopt_tuned_skew_treated,,,,,,,,,,,,,,,,,,,,,,,0.6320349571376785,2.445847482721681,0.03881566600021987,6.0,2.0250007270005734,350.0,0.19059439160272737,1.478691274731675,0.8389417122261952,0.22219199773716905,-0.22219199773716905,8.356944561004639
xgboost_hyperopt_tuned_skew_treated,,,,,,,,,,,,,,,,,,,,,,,0.7726363205481493,0.6660786011323899,0.02206724757033454,7.0,5.5941583094617275,750.0,0.0002421733939071498,19.73769278716642,0.894677508159528,0.2195228615534126,-0.2195228615534126,15.159495115280151
xgboost_hyperopt_tuned_skew_treated,,,,,,,,,,,,,,,,,,,,,,,0.754990330946689,2.6782693536718862,0.1635890689855848,3.0,1.8645337914026316,600.0,0.5216706518781409,0.6145427491581684,0.8817468854513928,0.2190423902241242,-0.2190423902241242,9.723753929138184
xgboost_hyperopt_tuned_skew_treated,,,,,,,,,,,,,,,,,,,,,,,0.6812543180357478,4.597370637408449,0.06982798449527368,7.0,2.3863569864048317,450.0,0.0003108822489823467,3.5917716891630023,0.923380741782362,0.21569875470501332,-0.21569875470501332,8.454321384429932
xgboost_hyperopt_tuned_skew_treated,,,,,,,,,,,,,,,,,,,,,,,0.9939908836412561,4.59337957982663,0.08208866693173393,5.0,3.2802496494706643,500.0,0.0003997877587914167,10.358345900077854,0.7358247421083032,0.21366575063799892,-0.21366575063799892,9.757303476333618
xgboost_hyperopt_tuned_skew_treated,,,,,,,,,,,,,,,,,,,,,,,0.6788355392310066,1.3353476915205302,0.10492426347155688,5.0,2.4247803067624463,400.0,3.85650806307871,5.687584969538928,0.8065632582454436,0.2124749775607595,-0.2124749775607595,8.654083251953125
xgboost_hyperopt_tuned_skew_treated,,,,,,,,,,,,,,,,,,,,,,,0.9651326091585946,1.6699257358661694,0.09167928862342482,6.0,1.6088537150845903,450.0,0.32733893063670483,9.498942884536293,0.6725004021583423,0.20367457186355187,-0.20367457186355187,10.2444486618042
xgboost_hyperopt_tuned_skew_treated,,,,,,,,,,,,,,,,,,,,,,,0.8035651858278754,1.7305409999279004,0.12637108500468924,5.0,25.40803491975664,800.0,0.0018232657301403862,0.2995450737274231,0.662146202549887,0.19890581726624199,-0.19890581726624199,13.864718914031982
xgboost_hyperopt_tuned_skew_treated,,,,,,,,,,,,,,,,,,,,,,,0.8663748795248024,2.628467068329106,0.13734182924199592,6.0,7.014373344506197,350.0,0.07986744897781808,0.3452419561258451,0.7014369755497597,0.1981605735351237,-0.1981605735351237,7.925405025482178
